D 2019-08-19 14:36:28.93 00:00:00.00 HA      900_226001567184 A4    1     7
D 2019-08-19 14:36:29.34 00:00:00.40 HA      900_226001567184 A4    3     1
D 2019-08-19 14:36:31.36 00:00:00.00 HA      900_226001567184 A4    1     7
D 2019-08-19 14:36:32.77 00:00:00.00 HA      900_226001567184 A4    1     6
D 2019-08-19 14:36:35.80 00:00:00.00 HA      900_226001567184 A4    1    14
E 2019-08-19 14:37:40.92 parameter change: mux sequence '2'
E 2019-08-19 14:38:14.39 supply power ok 11.8V
E 2019-08-19 14:38:14.39 database file opened
E 2019-08-19 14:38:14.39 starting reader after power up
E 2019-08-19 14:38:16.32 parameter change: mux sequence '234'
E 2019-08-19 14:38:20.45 parameter change: 3 antennas
D 2019-08-19 14:38:27.48 00:00:00.00 HA      900_226001567184 A2    1    23
D 2019-08-19 14:38:33.23 00:00:00.00 HA      900_226001567184 A2    1    18
D 2019-08-19 14:38:35.65 00:00:00.30 HA      900_226001567184 A2    2     7
D 2019-08-19 14:38:38.38 00:00:00.30 HA      900_226001567184 A2    2     7
D 2019-08-19 14:38:39.28 00:00:01.83 HA      900_226001567184 A2    6     1
D 2019-08-19 14:38:41.71 00:00:00.30 HA      900_226001567184 A2    2     1
D 2019-08-19 14:38:42.91 00:00:00.00 HA      900_226001567184 A2    1     2
D 2019-08-19 14:38:46.85 00:00:00.00 HA      900_226001567184 A2    1    12
D 2019-08-19 14:38:51.68 00:00:00.00 HA      900_226001567184 A2    1    15
D 2019-08-19 14:38:57.73 00:00:00.00 HA      900_226001567184 A2    1    19
D 2019-08-19 14:38:58.34 00:00:00.00 HA      900_226001567184 A2    1     1
D 2019-08-19 14:39:09.03 00:00:00.00 HA      900_226001567184 A3    1   160
D 2019-08-19 14:39:09.93 00:00:00.00 HA      900_226001567184 A3    1     2
D 2019-08-19 14:39:11.14 00:00:00.30 HA      900_226001567184 A3    2     3
D 2019-08-19 14:39:12.35 00:00:00.31 HA      900_226001567184 A3    2     2
D 2019-08-19 14:39:14.86 23:59:59.61 HA      900_226001567184 A3    3     2
E 2019-08-19 14:39:44.63 parameter change: 2 antennas
E 2019-08-19 14:39:59.73 parameter change: mux sequence '34'
D 2019-08-19 14:40:08.67 00:00:00.00 HA      900_226001567184 A4    1    56
D 2019-08-19 14:40:10.28 00:00:00.00 HA      900_226001567184 A4    1     7
D 2019-08-19 14:40:13.31 00:00:00.00 HA      900_226001567184 A4    1    14
D 2019-08-19 14:40:15.12 00:00:00.00 HA      900_226001567184 A4    1     8
D 2019-08-19 14:40:16.74 00:00:00.00 HA      900_226001567184 A4    1     7
D 2019-08-19 14:40:17.35 00:00:01.60 HA      900_226001567184 A4    4     2
D 2019-08-19 14:40:18.76 00:00:00.40 HA      900_226001567184 A4    3     3
D 2019-08-19 14:40:19.77 00:00:00.00 HA      900_226001567184 A4    1     2
D 2019-08-19 14:40:21.78 00:00:00.00 HA      900_226001567184 A4    1     4
D 2019-08-19 14:40:23.01 00:00:00.00 HA      900_226001567184 A4    1    10
D 2019-08-21 09:08:24.64 00:00:00.00 HA      900_226001567481 A4    1     .
D 2019-08-21 09:08:25.46 00:00:00.00 HA      900_226001567481 A4    1     3
D 2019-08-21 09:08:27.47 00:00:00.00 HA      900_226001567481 A4    1     9
D 2019-08-21 09:08:28.48 00:00:00.00 HA      900_226001567481 A4    1     4
D 2019-08-21 09:21:10.67 00:00:00.00 HA      900_226001567481 A4    1  3783
D 2019-08-21 09:21:11.07 00:00:00.20 HA      900_226001567481 A4    2     1
D 2019-08-21 09:47:19.91 00:00:00.00 HA      900_226001567481 A4    1  7787
D 2019-08-21 10:59:47.35 00:00:00.00 HA      900_226001567329 A4    1 21584
D 2019-08-22 00:31:07.40 00:00:00.00 HA      900_226001567491 A4    1     .
D 2019-08-22 01:08:06.96 00:00:00.62 HA      900_226001567400 A2    3     .
D 2019-08-22 01:08:09.69 00:00:00.91 HA      900_226001567400 A2    4     6
D 2019-08-22 01:52:43.01 00:00:01.21 HA      900_226001567400 A2    5  8852
D 2019-08-22 01:52:48.45 00:00:00.00 HA      900_226001567400 A2    1    13
D 2019-08-22 01:52:49.06 00:00:00.90 HA      900_226001567400 A2    4     1
D 2019-08-22 07:26:39.14 00:00:00.00 HA      900_226001567481 A3    1     .
D 2019-08-22 07:40:43.34 00:00:00.60 HA      900_226001567332 A2    3     .
D 2019-08-22 07:40:44.55 00:00:00.60 HA      900_226001567332 A2    3     1
D 2019-08-22 07:40:48.48 00:00:00.61 HA      900_226001567332 A2    3    10
D 2019-08-22 07:40:49.69 00:00:00.00 HA      900_226001567332 A2    1     1
D 2019-08-22 09:48:39.20 00:00:01.21 HA      900_226001567290 A2    5 25389
D 2019-08-22 09:48:44.64 00:00:00.92 HA      900_226001567290 A2    4    13
D 2019-08-22 09:48:46.16 00:00:00.00 HA      900_226001567290 A2    1     1
D 2019-08-22 22:01:30.74 00:00:00.31 HA      900_226001567491 A3    2     .
D 2019-08-22 22:01:31.95 00:00:00.31 HA      900_226001567491 A3    2     2
D 2019-08-22 22:01:33.16 00:00:00.30 HA      900_226001567491 A3    2     2
D 2019-08-22 22:01:34.08 00:00:00.00 HA      900_226001567491 A3    1     1
D 2019-08-22 22:01:35.89 00:00:00.00 HA      900_226001567491 A3    1     5
D 2019-08-22 22:01:39.51 00:00:00.00 HA      900_226001567491 A3    1    11
D 2019-08-22 22:41:39.58 00:00:00.30 HA      900_226001567494 A1    2     .
D 2019-08-22 22:41:43.52 00:00:00.00 HA      900_226001567494 A1    1    11
D 2019-08-22 22:41:45.95 00:00:00.00 HA      900_226001567494 A1    1     7
D 2019-08-22 22:41:51.71 00:00:00.00 HA      900_226001567494 A1    1    18
D 2019-08-22 22:55:34.91 00:00:00.00 HA      900_226001567329 A1    1  2723
D 2019-08-22 22:55:36.12 00:00:00.00 HA      900_226001567329 A1    1     3
D 2019-08-22 23:07:24.37 00:00:00.60 HA      900_226001567365 A3    3 13053
D 2019-08-22 23:07:25.87 00:00:00.31 HA      900_226001567365 A3    2     2
D 2019-08-22 23:07:29.81 00:00:00.00 HA      900_226001567365 A3    1    11
D 2019-08-22 23:07:30.72 00:00:00.00 HA      900_226001567365 A3    1     2
D 2019-08-22 23:36:56.69 00:00:00.31 HA      900_226001567491 A3    2  5843
D 2019-08-22 23:37:02.75 00:00:00.31 HA      900_226001567491 A3    2    18
