Lake,Full PIT,PIT,Length,Sex,Section,
Parley,9.00E+14,497630,675,F,Mud,
,,,,,,
Parley,9.00E+14,497649,746,M,Mud,
,,,,,,
Parley,9.00E+14,497636,563,M,Mud,
,,,,,,
Parley,9.00E+14,497622,376,M,Mud,
,,,,,,
Parley,9.00E+14,497620,579,M,Mud,
,,,,,,
Parley,9.00E+14,497616,589,M,Mud,
,,,,,,
Parley,9.00E+14,497628,569,M,Mud,
,,,,,,
Parley,9.82E+14,775214,353,M,Mud,
,,,,,,
Parley,9.82E+14,775194,670,M,Mud,
,,,,,,
Parley,9.82E+14,775229,642,M,Mud,
,,,,,,
Parley,9.82E+14,775178,755,F,Mud,
,,,,,,
Parley,9.82E+14,775216,680,M,Mud,Hit by propeller
,,,,,,
Parley,9.82E+14,775176,680,M,Mud,
,,,,,,
Parley,9.82E+14,775264,580,M,DC,
,,,,,,
Parley,9.82E+14,775185,690,M,DC,
,,,,,,
Parley,9.82E+14,775234,525,M,DC,
,,,,,,
Parley,9.82E+14,775223,580,M,DC,
,,,,,,
Parley,9.82E+14,775170,763,F,DC,
,,,,,,
Parley,9.82E+14,775200,800,F,DC,
,,,,,,
Parley,9.82E+14,775195,390,M,ROD,
,,,,,,
Parley,9.82E+14,775256,552,M,ROD,
,,,,,,
Parley,9.82E+14,775198,765,F,ROD,
,,,,,,
Parley,9.82E+14,775194,780,F,ROD,Might be dead
,,,,,,
Parley,9.82E+14,775173,325,M,ROD,
,,,,,,
Parley,9.82E+14,775175,350,U,ROD,
,,,,,,
Parley,9.82E+14,775187,365,U,ROD,
,,,,,,
Parley,9.82E+14,775203,650,F,ROD,
,,,,,,
Parley,9.82E+14,775217,575,F,ROD,
,,,,,,
Parley,9.82E+14,775239,665,M,ROD,
,,,,,,
Parley,9.00E+14,497672,714,F,Mud,43655
,,,,,,
Parley,9.00E+14,497609,751,M,Mud,
,,,,,,
Parley,9.00E+14,497694,695,M,Mud,
,,,,,,
Parley,9.00E+14,497652,649,M,Mud,
,,,,,,
Parley,9.00E+14,497697,632,M,Mud,
,,,,,,
Parley,9.00E+14,497647,714,M,Mud,
,,,,,,
Parley,9.00E+14,497695,650,M,Mud,
,,,,,,
Parley,9.00E+14,497625,573,M,Mud,
,,,,,,
