fishID,nvisit,forage_activity_rank,prop_forager,cum_visits,one_to_one
038318,1,1,0.00934579439252336,0.00105820105820106,0.00934579439252336
038324,1,2,0.0186915887850467,0.00211640211640212,0.0186915887850467
038347,1,3,0.0280373831775701,0.00317460317460317,0.0280373831775701
038349,1,4,0.0373831775700935,0.00423280423280423,0.0373831775700935
038351,1,5,0.0467289719626168,0.00529100529100529,0.0467289719626168
038370,1,6,0.0560747663551402,0.00634920634920635,0.0560747663551402
038382,1,7,0.0654205607476636,0.00740740740740741,0.0654205607476636
038385,1,8,0.0747663551401869,0.00846560846560847,0.0747663551401869
038390,1,9,0.0841121495327103,0.00952380952380953,0.0841121495327103
497604,1,10,0.0934579439252336,0.0105820105820106,0.0934579439252336
497620,1,11,0.102803738317757,0.0116402116402116,0.102803738317757
497632,1,12,0.11214953271028,0.0126984126984127,0.11214953271028
497646,1,13,0.121495327102804,0.0137566137566138,0.121495327102804
497652,1,14,0.130841121495327,0.0148148148148148,0.130841121495327
497686,1,15,0.14018691588785,0.0158730158730159,0.14018691588785
497692,1,16,0.149532710280374,0.0169312169312169,0.149532710280374
497867,1,17,0.158878504672897,0.017989417989418,0.158878504672897
497874,1,18,0.168224299065421,0.0190476190476191,0.168224299065421
775169,1,19,0.177570093457944,0.0201058201058201,0.177570093457944
775249,1,20,0.186915887850467,0.0211640211640212,0.186915887850467
038305,2,21,0.196261682242991,0.0232804232804233,0.196261682242991
038313,2,22,0.205607476635514,0.0253968253968254,0.205607476635514
038326,2,23,0.214953271028037,0.0275132275132275,0.214953271028037
038339,2,24,0.224299065420561,0.0296296296296296,0.224299065420561
497626,2,25,0.233644859813084,0.0317460317460317,0.233644859813084
497673,2,26,0.242990654205607,0.0338624338624339,0.242990654205607
497804,2,27,0.252336448598131,0.035978835978836,0.252336448598131
497806,2,28,0.261682242990654,0.0380952380952381,0.261682242990654
775216,2,29,0.271028037383178,0.0402116402116402,0.271028037383178
038325,3,30,0.280373831775701,0.0433862433862434,0.280373831775701
497663,3,31,0.289719626168224,0.0465608465608466,0.289719626168224
038391,4,32,0.299065420560748,0.0507936507936508,0.299065420560748
497805,4,33,0.308411214953271,0.055026455026455,0.308411214953271
497836,4,34,0.317757009345794,0.0592592592592593,0.317757009345794
497892,4,35,0.327102803738318,0.0634920634920635,0.327102803738318
775199,4,36,0.336448598130841,0.0677248677248677,0.336448598130841
497680,5,37,0.345794392523364,0.073015873015873,0.345794392523364
497764,5,38,0.355140186915888,0.0783068783068783,0.355140186915888
775235,5,39,0.364485981308411,0.0835978835978836,0.364485981308411
038361,6,40,0.373831775700935,0.0899470899470899,0.373831775700935
497684,6,41,0.383177570093458,0.0962962962962963,0.383177570093458
497778,6,42,0.392523364485981,0.102645502645503,0.392523364485981
497841,6,43,0.401869158878505,0.108994708994709,0.401869158878505
497855,6,44,0.411214953271028,0.115343915343915,0.411214953271028
038322,7,45,0.420560747663551,0.122751322751323,0.420560747663551
038363,7,46,0.429906542056075,0.13015873015873,0.429906542056075
497656,7,47,0.439252336448598,0.137566137566138,0.439252336448598
497811,7,48,0.448598130841121,0.144973544973545,0.448598130841121
497876,7,49,0.457943925233645,0.152380952380952,0.457943925233645
497827,8,50,0.467289719626168,0.160846560846561,0.467289719626168
038377,9,51,0.476635514018692,0.17037037037037,0.476635514018692
497822,9,52,0.485981308411215,0.17989417989418,0.485981308411215
497891,9,53,0.495327102803738,0.189417989417989,0.495327102803738
775177,9,54,0.504672897196262,0.198941798941799,0.504672897196262
038334,10,55,0.514018691588785,0.20952380952381,0.514018691588785
