fishID,nvisit,forage_activity_rank,prop_forager,cum_visits,one_to_one
38345,1,1,0.0075187969924812,0.000755287009063444,0.0075187969924812
497617,1,2,0.0150375939849624,0.00151057401812689,0.0150375939849624
497621,1,3,0.0225563909774436,0.00226586102719033,0.0225563909774436
497623,1,4,0.0300751879699248,0.00302114803625378,0.0300751879699248
497632,1,5,0.037593984962406,0.00377643504531722,0.037593984962406
497654,1,6,0.0451127819548872,0.00453172205438067,0.0451127819548872
497658,1,7,0.0526315789473684,0.00528700906344411,0.0526315789473684
497687,1,8,0.0601503759398496,0.00604229607250755,0.0601503759398496
497696,1,9,0.0676691729323308,0.006797583081571,0.0676691729323308
497729,1,10,0.075187969924812,0.00755287009063444,0.075187969924812
497780,1,11,0.0827067669172932,0.00830815709969789,0.0827067669172932
497804,1,12,0.0902255639097744,0.00906344410876133,0.0902255639097744
497807,1,13,0.0977443609022556,0.00981873111782477,0.0977443609022556
497822,1,14,0.105263157894737,0.0105740181268882,0.105263157894737
497841,1,15,0.112781954887218,0.0113293051359517,0.112781954887218
497843,1,16,0.120300751879699,0.0120845921450151,0.120300751879699
497857,1,17,0.12781954887218,0.0128398791540786,0.12781954887218
497861,1,18,0.135338345864662,0.013595166163142,0.135338345864662
497874,1,19,0.142857142857143,0.0143504531722054,0.142857142857143
497877,1,20,0.150375939849624,0.0151057401812689,0.150375939849624
497883,1,21,0.157894736842105,0.0158610271903323,0.157894736842105
38341,2,22,0.165413533834586,0.0173716012084592,0.165413533834586
38358,2,23,0.172932330827068,0.0188821752265861,0.172932330827068
497620,2,24,0.180451127819549,0.020392749244713,0.180451127819549
497655,2,25,0.18796992481203,0.0219033232628399,0.18796992481203
497664,2,26,0.195488721804511,0.0234138972809668,0.195488721804511
497688,2,27,0.203007518796992,0.0249244712990937,0.203007518796992
497692,2,28,0.210526315789474,0.0264350453172205,0.210526315789474
497700,2,29,0.218045112781955,0.0279456193353474,0.218045112781955
497818,2,30,0.225563909774436,0.0294561933534743,0.225563909774436
497828,2,31,0.233082706766917,0.0309667673716012,0.233082706766917
497833,2,32,0.240601503759399,0.0324773413897281,0.240601503759399
497851,2,33,0.24812030075188,0.033987915407855,0.24812030075188
497875,2,34,0.255639097744361,0.0354984894259819,0.255639097744361
775168,2,35,0.263157894736842,0.0370090634441088,0.263157894736842
775173,2,36,0.270676691729323,0.0385196374622356,0.270676691729323
775174,2,37,0.278195488721805,0.0400302114803625,0.278195488721805
775187,2,38,0.285714285714286,0.0415407854984894,0.285714285714286
38322,3,39,0.293233082706767,0.0438066465256798,0.293233082706767
38329,3,40,0.300751879699248,0.0460725075528701,0.300751879699248
497656,3,41,0.308270676691729,0.0483383685800604,0.308270676691729
497736,3,42,0.315789473684211,0.0506042296072508,0.315789473684211
497809,3,43,0.323308270676692,0.0528700906344411,0.323308270676692
497811,3,44,0.330827067669173,0.0551359516616314,0.330827067669173
497898,3,45,0.338345864661654,0.0574018126888218,0.338345864661654
775177,3,46,0.345864661654135,0.0596676737160121,0.345864661654135
775235,3,47,0.353383458646617,0.0619335347432024,0.353383458646617
38306,4,48,0.360902255639098,0.0649546827794562,0.360902255639098
38326,4,49,0.368421052631579,0.06797583081571,0.368421052631579
38348,4,50,0.37593984962406,0.0709969788519638,0.37593984962406
497716,4,51,0.383458646616541,0.0740181268882175,0.383458646616541
497805,4,52,0.390977443609023,0.0770392749244713,0.390977443609023
775196,4,53,0.398496240601504,0.0800604229607251,0.398496240601504
775234,4,54,0.406015037593985,0.0830815709969789,0.406015037593985
775249,4,55,0.413533834586466,0.0861027190332326,0.413533834586466
38333,5,56,0.421052631578947,0.0898791540785499,0.421052631578947
38338,5,57,0.428571428571429,0.0936555891238671,0.428571428571429
497600,5,58,0.43609022556391,0.0974320241691843,0.43609022556391
497667,5,59,0.443609022556391,0.101208459214502,0.443609022556391
497717,5,60,0.451127819548872,0.104984894259819,0.451127819548872
775176,5,61,0.458646616541353,0.108761329305136,0.458646616541353
497625,6,62,0.466165413533835,0.113293051359517,0.466165413533835
497627,6,63,0.473684210526316,0.117824773413897,0.473684210526316
497746,6,64,0.481203007518797,0.122356495468278,0.481203007518797
497840,6,65,0.488721804511278,0.126888217522659,0.488721804511278
497867,6,66,0.496240601503759,0.131419939577039,0.496240601503759
775182,6,67,0.503759398496241,0.13595166163142,0.503759398496241
775213,6,68,0.511278195488722,0.140483383685801,0.511278195488722
38385,7,69,0.518796992481203,0.145770392749245,0.518796992481203
497635,7,70,0.526315789473684,0.151057401812689,0.526315789473684
497642,7,71,0.533834586466166,0.156344410876133,0.533834586466166
497794,7,72,0.541353383458647,0.161631419939577,0.541353383458647
497626,8,73,0.548872180451128,0.167673716012085,0.548872180451128
497641,8,74,0.556390977443609,0.173716012084592,0.556390977443609
497659,8,75,0.56390977443609,0.1797583081571,0.56390977443609
