PIT,count,forage_activity_rank,prop_forager,cum_visits,one_to_one
497807,1,1,0.0075187969924812,1.62181536280821e-06,0.0075187969924812
497623,3,2,0.0150375939849624,6.48726145123282e-06,0.0150375939849624
497658,3,3,0.0225563909774436,1.13527075396574e-05,0.0225563909774436
497843,3,4,0.0300751879699248,1.62181536280821e-05,0.0300751879699248
497632,4,5,0.037593984962406,2.27054150793149e-05,0.037593984962406
497617,5,6,0.0451127819548872,3.08144918933559e-05,0.0451127819548872
497883,5,7,0.0526315789473684,3.89235687073969e-05,0.0526315789473684
775187,5,8,0.0601503759398496,4.7032645521438e-05,0.0601503759398496
497654,6,9,0.0676691729323308,5.67635376982872e-05,0.0676691729323308
497688,6,10,0.075187969924812,6.64944298751364e-05,0.075187969924812
497857,6,11,0.0827067669172932,7.62253220519857e-05,0.0827067669172932
497874,6,12,0.0902255639097744,8.59562142288349e-05,0.0902255639097744
497655,7,13,0.0977443609022556,9.73089217684923e-05,0.0977443609022556
38345,9,14,0.105263157894737,0.000111905260033766,0.105263157894737
497692,9,15,0.112781954887218,0.00012650159829904,0.112781954887218
497828,9,16,0.120300751879699,0.000141097936564314,0.120300751879699
497621,11,17,0.12781954887218,0.000158937905555204,0.12781954887218
497818,11,18,0.135338345864662,0.000176777874546094,0.135338345864662
497620,12,19,0.142857142857143,0.000196239658899793,0.142857142857143
497841,12,20,0.150375939849624,0.000215701443253491,0.150375939849624
497687,13,21,0.157894736842105,0.000236785042969998,0.157894736842105
497696,13,22,0.165413533834586,0.000257868642686505,0.165413533834586
775177,13,23,0.172932330827068,0.000278952242403011,0.172932330827068
38341,15,24,0.180451127819549,0.000303279472845134,0.180451127819549
497861,15,25,0.18796992481203,0.000327606703287258,0.18796992481203
775249,15,26,0.195488721804511,0.000351933933729381,0.195488721804511
775173,17,27,0.203007518796992,0.00037950479489712,0.203007518796992
497851,18,28,0.210526315789474,0.000408697471427668,0.210526315789474
497875,20,29,0.218045112781955,0.000441133778683832,0.218045112781955
497805,22,30,0.225563909774436,0.000476813716665613,0.225563909774436
497804,23,31,0.233082706766917,0.000514115470010201,0.233082706766917
775235,25,32,0.240601503759399,0.000554660854080406,0.240601503759399
497641,26,33,0.24812030075188,0.00059682805351342,0.24812030075188
38348,31,34,0.255639097744361,0.000647104329760474,0.255639097744361
497898,32,35,0.263157894736842,0.000699002421370337,0.263157894736842
38358,34,36,0.270676691729323,0.000754144143705816,0.270676691729323
38306,35,37,0.278195488721805,0.000810907681404103,0.278195488721805
497664,37,38,0.285714285714286,0.000870914849828007,0.285714285714286
497780,40,39,0.293233082706767,0.000935787464340335,0.293233082706767
38326,41,40,0.300751879699248,0.00100228189421547,0.300751879699248
497659,41,41,0.308270676691729,0.00106877632409061,0.308270676691729
497811,41,42,0.315789473684211,0.00113527075396574,0.315789473684211
497700,42,43,0.323308270676692,0.00120338699920369,0.323308270676692
497736,42,44,0.330827067669173,0.00127150324444163,0.330827067669173
497877,43,45,0.338345864661654,0.00134124130504239,0.338345864661654
775234,62,46,0.345864661654135,0.0014417938575365,0.345864661654135
497642,65,47,0.353383458646617,0.00154721185611903,0.353383458646617
775176,77,48,0.360902255639098,0.00167209163905526,0.360902255639098
775213,78,49,0.368421052631579,0.0017985932373543,0.368421052631579
497809,81,50,0.37593984962406,0.00192996028174176,0.37593984962406
775174,96,51,0.383458646616541,0.00208565455657135,0.383458646616541
497729,106,52,0.390977443609023,0.00225756698502902,0.390977443609023
497746,111,53,0.398496240601504,0.00243758849030073,0.398496240601504
497656,118,54,0.406015037593985,0.0026289627031121,0.406015037593985
497667,120,55,0.413533834586466,0.00282358054664909,0.413533834586466
497626,126,56,0.421052631578947,0.00302792928236292,0.421052631578947
497822,128,57,0.428571428571429,0.00323552164880237,0.428571428571429
775168,132,58,0.43609022556391,0.00344960127669305,0.43609022556391
38305,136,59,0.443609022556391,0.00367016816603497,0.443609022556391
38385,136,60,0.451127819548872,0.00389073505537689,0.451127819548872
38322,139,61,0.458646616541353,0.00411616739080723,0.458646616541353
497840,148,62,0.466165413533835,0.00435619606450284,0.466165413533835
38333,163,63,0.473684210526316,0.00462055196864058,0.473684210526316
497600,196,64,0.481203007518797,0.00493842777975099,0.481203007518797
497894,198,65,0.488721804511278,0.00525954722158701,0.488721804511278
497627,221,66,0.496240601503759,0.00561796841676763,0.496240601503759
497794,221,67,0.503759398496241,0.00597638961194824,0.503759398496241
497625,229,68,0.511278195488722,0.00634778533003132,0.511278195488722
38389,259,69,0.518796992481203,0.00676783550899864,0.518796992481203
775196,268,70,0.526315789473684,0.00720248202623124,0.526315789473684
497653,290,71,0.533834586466166,0.00767280848144562,0.533834586466166
